year,rv_out,rv_BB,rv_HBP,rv_1B,rv_2B,rv_3B,rv_HR,wBB,wHBP,w1B,w2B,w3B,wHR,wOBA_scale,runs_per_out
2015,-0.24924889059039962,0.30034676372219826,0.32908819111498855,0.4430057587458836,0.7425344288803385,1.0308997127193025,1.385969671856624,0.6985709091488727,0.7351030849520639,0.8798995333291457,1.2606194567311724,1.6271500086335733,2.078466430478734,1.2710633784442933,0.24924889059039962
2016,-0.25658229272843747,0.28630442743416207,0.31897817784470134,0.4406300853900278,0.7396633859750649,1.0080878714069206,1.380891477446023,0.6837766464774007,0.724929886469837,0.8781528891507797,1.2547912924586815,1.5928772828952196,2.0624308565316323,1.2595199349739175,0.25658229272843747
2017,-0.2706324156887557,0.30671609121425975,0.33598347036557163,0.45387809404157425,0.7761090375766033,1.0605489766230118,1.3781388415005336,0.6958192403950664,0.7310922259244829,0.8731785853972692,1.261530659892187,1.6043370930238101,1.9870957490072585,1.205197955958258,0.2706324156887557
2018,-0.2579541592984873,0.3010893101682492,0.3276027727001117,0.4492139971289882,0.7651531942134201,1.093095032260626,1.3793892198571416,0.6936129418189382,0.7265085604048656,0.8773932835817188,1.2693834022297017,1.6762653630375217,2.031474509606933,1.2407137900753327,0.2579541592984873
2019,-0.27414222931035664,0.3183103269957813,0.34449623763026294,0.46306972219320375,0.7529251665399044,1.0432188011924037,1.3778308301971318,0.6993048034625468,0.7302134946224031,0.8701723933317709,1.2123049445105674,1.5549547161526973,1.9499159610467824,1.1803557871749564,0.27414222931035664
2020,-0.27511654051861073,0.33084276146605096,0.36965918395266606,0.475719280687029,0.7661931046267103,1.0500142773728804,1.383899295835664,0.7143163712950583,0.760073909741092,0.8850995726698718,1.2275156510982626,1.5620894575382929,1.9556794792393808,1.1788190542755947,0.27511654051861073
2021,-0.26624352221489284,0.3318005853076532,0.3684255638614235,0.46434573855720435,0.7648282826386996,1.04156648975908,1.3863003961558464,0.717088794646077,0.7610042206066471,0.876017948841141,1.2363135568694552,1.5681383585526465,1.9814938590955078,1.1990567010461566,0.26624352221489284
2022,-0.2516713057788268,0.31038445699828343,0.34418110939955393,0.45326539778268476,0.7625187851360812,1.0276482783758374,1.4007923388713361,0.7019083364801058,0.744114383702825,0.8803413854807305,1.266544223426084,1.5976441139996276,2.0636351136750317,1.248823307160816,0.2516713057788268
2023,-0.26903179767488616,0.3163420210243073,0.3450288493865458,0.46813387053159067,0.7573181424663169,1.0970748018708663,1.3833882492155356,0.7041024853890546,0.7386077305888931,0.8866815743161606,1.2345197558343144,1.6431876884825898,1.9875727693248937,1.2028253790948453,0.26903179767488616
2024,-0.2571868535396467,0.31822661721754353,0.3509201741370982,0.46917116651202256,0.7486574086478436,1.0459595276556641,1.3989725692715023,0.7042113096834697,0.7442228382739182,0.8889425753738077,1.2309877005148382,1.5948365244269118,2.0268663412549843,1.2238352862278206,0.2571868535396467
2025,-0.26159607249059225,0.3270606573743286,0.3531582070710746,0.4701130458484314,0.7510256877692971,1.0032365272812402,1.385790330616487,0.7150402260052495,0.7467408706876378,0.8888056940541502,1.2300297534697622,1.5363897873166126,2.0010771749198635,1.2146981249485247,0.26159607249059225
