position,first,last,player_type,id,recent_pts,prior_pts,recent_ppg,trajectory_score,ml_projection,traj_norm,ml_norm,combined_score,signal_divergence,recommendation
C,Agustín,Ramírez,batter,ramia004,,,,,361.4782198170293,,1.0,1.0,False,AUTO-KEEP
P,Drew,Rasmussen,pitcher,rasmd002,372.0,73.0,12.0,153.21875,312.13524296366637,1.0,0.8456757625148974,0.9228378812574487,False,AUTO-KEEP
P,Max,Fried,pitcher,friem001,521.0,395.0,16.28125,64.3302801724138,337.23309103435815,0.7324499853971013,0.9241713562756231,0.8283106708363621,False,AUTO-KEEP
P,Andrés,Muñoz,pitcher,munoa002,381.0,281.0,5.953125,50.63489583333333,311.41243553762234,0.6912275379073356,0.843415122561935,0.7673213302346353,False,KEEP
P,Zebby,Matthews,pitcher,mattz001,123.0,34.99999999999997,7.6875,45.89930555555557,265.97539159298645,0.6769736391684964,0.7013070130092555,0.689140326088876,False,KEEP
3B,Eugenio,Suárez,batter,suare001,372.0,334.0,2.339622641509434,19.11284929543826,291.283214030341,0.5963476954723643,0.7804593189526073,0.6884035072124859,False,KEEP
2B,Gleyber,Torres,batter,torrg001,347.0,298.0,2.393103448275862,24.729019256605465,276.4326860820872,0.6132520966622734,0.734013065645349,0.6736325811538112,False,KEEP
OF,Heliot,Ramos,batter,ramoh002,302.0,257.0,1.9235668789808917,22.399799968416065,272.5812492744477,0.6062412587462064,0.7219673787722736,0.6641043187592399,False,KEEP
C,Austin,Wells,batter,wella002,214.0,198.0,1.6984126984126984,7.988336783988958,279.31801743937683,0.5628634484079078,0.7430371778899112,0.6529503131489095,False,KEEP
1B,Alec,Burleson,batter,burla001,316.0,347.0,2.273381294964029,-15.504756720939039,300.88421344591245,0.49215036804436163,0.8104872379876947,0.6513188030160282,True,KEEP
P,Jeff,Hoffman,pitcher,hoffj003,337.0,251.0,4.746478873239437,43.527651201325604,228.60699227210262,0.6698350737467038,0.5844342562566156,0.6271346650016597,False,KEEP
P,David,Peterson,pitcher,peted003,300.0,274.0,10.0,11.476190476190476,258.6647862187164,0.5733617200970407,0.6784424906013046,0.6259021053491727,False,KEEP
2B,Ceddanne,Rafaela,batter,rafac001,304.0,240.0,1.9487179487179487,32.18488529014845,229.306489069537,0.6356938944569813,0.5866219902923657,0.6111579423746736,False,KEEP
OF,Bryan,Reynolds,batter,reynb001,264.0,350.0,1.7142857142857142,-43.264652014652015,276.24436444590725,0.4085944197237971,0.7334240741665459,0.5710092469451715,True,BORDERLINE
OF,Luis,Robert Jr.,batter,robel002,205.0,141.0,1.8636363636363635,32.22681818181818,203.45277223158345,0.6358201104420279,0.5057623545020494,0.5707912324720387,False,BORDERLINE
P,Zack,Littell,pitcher,littz001,359.9999999999999,309.0,11.249999999999996,25.797413793103388,205.94839509276542,0.6164679127787633,0.5135676212221104,0.5650177670004368,False,BORDERLINE
OF,Gavin,Sheets,batter,sheeg001,278.0,180.0,1.9172413793103449,49.31113867526668,158.72305096948057,0.6872430925944801,0.3658664550874451,0.5265547738409626,True,BORDERLINE
SS,Josh,Smith,batter,smitj004,253.0,271.0,1.7569444444444444,-9.030923750932141,,0.5116362935982801,,0.5116362935982801,False,BORDERLINE
OF,Steven,Kwan,batter,kwans001,387.0,345.0,2.480769230769231,20.826450189155107,166.7723731625165,0.6015055516603128,0.3910413753887427,0.4962734635245277,False,BORDERLINE
P,Tyler,Glasnow,pitcher,glast001,227.99999999999997,372.0,12.666666666666664,-74.12121212121214,195.2718296461727,0.3157176594069797,0.48017578054736365,0.3979467199771717,False,CUT
P,Michael,McGreevy,pitcher,mcgrm001,163.00000000000006,74.0,9.58823529411765,40.044117647058854,41.74246309167256,0.6593498054647594,0.0,0.3296749027323797,True,CUT
P,Gerrit,Cole,pitcher,coleg001,235.0,589.0,13.823529411764707,-179.01247771836006,,0.0,,0.0,False,CUT
P,Bubba,Chandler,pitcher,chanb001,,,,,,,,,False,INSUFFICIENT_DATA
